company_dunsum,product_count,top1_dunsnumber,top2_dunsnumber,top3_dunsnumber,top4_dunsnumber,top5_dunsnumber,top1_product_count,top2_product_count,top3_product_count,top4_product_count,top5_product_count,top1_jaccard_distance,top2_jaccard_distance,top3_jaccard_distance,top4_jaccard_distance,top5_jaccard_distance
879585248,33,798798570,53234100,63111194,46947339,969430784,48,28,20,33,29,0.5272727273,0.6136363636,0.675,0.68,0.6808510638
103097556,24,943788265,72700198,614948396,48530240,611429481,21,35,12,31,51,0.6764705882,0.6888888889,0.7142857143,0.7209302326,0.7288135593
968997101,1,40861601,88805734,81897456,613866735,937890044,1,1,1,1,1,0,0,0,0,0
172030350,1,942054461,134131114,122814668,126483903,66856238,1,1,1,1,1,0,0,0,0,0
199723045,1,803602205,36762243,94511883,966665346,11036683,1,1,1,1,1,0,0,0,0,0
829895619,2,606750032,828659081,143490436,78735402,125805171,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
780400771,1,180448466,795425060,43634294,808254275,61344016,1,1,1,1,1,0,0,0,0,0
2595692,2,93726107,7991748,1121912,97021567,173788126,2,3,5,8,11,0.6666666667,0.75,0.8333333333,0.8888888889,0.9166666667
967624347,1,948834747,60656550,7274194,620822304,4154308,1,1,1,1,1,0,0,0,0,0
2333870,18,133430509,101695757,969789358,607970691,784084394,9,22,13,14,15,0.7142857143,0.75,0.76,0.7692307692,0.7777777778
942054461,1,172030350,134131114,122814668,126483903,66856238,1,1,1,1,1,0,0,0,0,0
782547132,2,41138939,21072244,141921135,78405538,103740718,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
101702413,9,115978041,786906768,949103725,826102084,12334962,3,8,4,4,4,0.6666666667,0.6923076923,0.7,0.7,0.7
607417524,1,825270858,41426065,605588107,11344454,619646529,1,1,1,2,2,0,0,0,0.5,0.5
75412031,1,361858020,196203681,78549556,84221261,933994014,1,1,1,1,1,0,0,0,0,0
12415835,2,932838519,198627978,957270739,4074261,126959774,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
106530744,33,809996788,791516933,164856036,80603798,187219196,17,22,24,21,46,0.7179487179,0.7209302326,0.7333333333,0.7441860465,0.746031746
614767403,1,133418371,809352156,6645683,790254312,784472409,1,1,1,1,1,0,0,0,0,0
59615721,1,163215044,962880428,55935449,171010759,55711808,1,1,1,1,1,0,0,0,0,0
37795663,3,878187012,97220180,153672964,99851016,969675123,2,3,1,1,1,0.3333333333,0.5,0.6666666667,0.6666666667,0.6666666667
186641259,1,131701732,152722773,958016545,42398839,8198421,1,1,1,1,1,0,0,0,0,0
9711776,3,801105271,604038828,962480047,825209328,968345467,1,1,1,1,1,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667
243651288,1,251476669,180362290,787411917,6366108,808252808,1,1,1,1,1,0,0,0,0,0
41455850,1,153672964,99851016,969675123,150282309,78795863,1,1,1,1,1,0,0,0,0,0
134131114,1,172030350,942054461,122814668,126483903,66856238,1,1,1,1,1,0,0,0,0,0
129534850,1,15194546,197539310,929187425,832976562,6189144,1,1,1,1,1,0,0,0,0,0
601024185,3,79316477,114315195,4908729,159776806,804442432,2,3,3,3,4,0.3333333333,0.5,0.5,0.5,0.6
163215044,1,59615721,962880428,55935449,171010759,55711808,1,1,1,1,1,0,0,0,0,0
788495034,1,964449495,175096619,198205619,963397901,191512339,1,1,1,1,1,0,0,0,0,0
11103280,2,602202434,42902957,44078475,85693042,805610438,1,1,1,2,2,0.5,0.5,0.5,0.6666666667,0.6666666667
968456103,24,62046974,78789775,808350172,157301839,78704681,31,31,59,53,53,0.7777777778,0.7777777778,0.7794117647,0.796875,0.796875
78460157,1,830575101,131560935,119704054,831531285,782447341,1,1,1,1,1,0,0,0,0,0
790761543,1,837769124,48755628,59513960,153222026,623362477,1,1,1,1,1,0,0,0,0,0
251476669,1,243651288,180362290,787411917,6366108,808252808,1,1,1,1,1,0,0,0,0,0
89107643,8,180360294,176118628,83152975,176325579,149448669,2,2,2,2,3,0.75,0.75,0.75,0.75,0.7777777778
801105271,1,825209328,968345467,78816693,613855873,34486910,1,1,1,1,1,0,0,0,0,0
151251584,4,1470772,54321898,830240607,71986590,188570626,3,1,1,1,1,0.6,0.75,0.75,0.75,0.75
38593414,1,119606312,616201125,11507821,1464564,844916353,1,1,1,1,1,0,0,0,0,0
782447341,1,830575101,131560935,119704054,831531285,78460157,1,1,1,1,1,0,0,0,0,0
184074946,2,932825581,7900129,967269940,556176873,85662542,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
833079150,2,142195325,626878706,808179477,2502953,162763911,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5
627761153,2,938370566,63162812,72704224,795925911,134762934,2,3,1,1,1,0,0.3333333333,0.5,0.5,0.5
172307030,1,124252847,360619824,784418936,20811546,77594799,1,1,1,1,1,0,0,0,0,0
